RELATÓRIO SICO CONSULTA EXTERNA - INFORMAÇÕES DE CONTAS ANALÍTICAS 
Data da Geração:21/06/2026
Tipo de Eleição: Partidária Anual 
Tipo de Direção Partidária: Direção Nacional

Número CNPJ; Número do Partido; Partido; Órgão / Candidato; Cargo; Tipo; Eleição / Exercício; UF/Localidade; Zona; Situação; Data do Lançamento; Tipo de Julgamento; Espécie da Decisão; Número Documento da Decisão; Nº Protocolo SADP/PJe; Data Protocolo; Data da Publicação; Data do Trânsito em Julgado; Início Suspensão; Fim Suspensão; Desconto; Multa; Recolhimento ao Erário; Redução de Repasse
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Em trâmite;05/04/2013;-;-;'-' ;'96492011' ;02/05/2011;;;;;-;-;-;Não;
'73282907000164' ;16;PSTU;Direção Nacional - PSTU;-;Prestação de contas partidárias anuais;2010;BR - BRASIL;-;Julgada;22/06/2016;Aprovada com ressalvas;Acórdão;'s/n' ;'-' ;;06/04/2016;18/04/2016;;;-;-;-;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;14/05/2013;-;-;'-' ;'93052013' ;29/04/2013;;;;;-;-;-;Não;
'08517423000195' ;22;PL / PR;Direção Nacional - PR;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;26/11/2018;Desaprovada;Acórdão;'22997' ;'-' ;;19/04/2018;26/10/2018;01/01/2019;28/02/2019;-;1431;349083.84;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;14/05/2013;-;-;'-' ;'94482013' ;30/04/2013;;;;;-;-;-;Não;
'01585552000171' ;21;PCB;Direção Nacional - PCB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;05/09/2018;Desaprovada;Decisão Monocrática;'240292013' ;'-' ;;23/03/2018;03/09/2018;;;-;0;87255.33;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;14/05/2013;-;-;'-' ;'92922013' ;29/04/2013;;;;;-;-;-;Não;
'54956495000156' ;65;PC DO B / PCDOB;Direção Nacional - PC do B;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;18/04/2018;Aprovada com ressalvas;Acórdão;'227302013' ;'-' ;;05/04/2018;16/04/2018;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;13/03/2014;-;-;'-' ;'11344/2013 ' ;20/05/2013;;;;;-;-;-;Não;
'01307059000190' ;29;PCO;Direção Nacional - PCO;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;20/09/2023;Desaprovada;Acórdão;'ID106772738 parte 11' ;'-' ;;13/06/2018;01/03/2021;;;-;-;29876.64;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;14/05/2013;-;-;'-' ;'89092013' ;30/04/2013;;;;;-;-;-;Não;
'00719575000169' ;12;PDT;Direção Nacional - PDT;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;11/09/2018;Aprovada com ressalvas;Acórdão;'210912013' ;'-' ;;08/05/2018;15/08/2018;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;14/05/2013;-;-;'-' ;'92942013' ;30/04/2013;;;;;-;-;-;Não;
'01633510000169' ;98;DEM;Direção Nacional - DEM;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;29/04/2026;Aprovada com ressalvas;Acórdão;'165469758' ;'-' ;;22/04/2026;27/04/2026;;;-;-;1005569.22;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;14/05/2013;-;-;'-' ;'90252013' ;30/04/2013;;;;;-;-;-;Não;
'01770770000186' ;31;PHS;Direção Nacional - PHS;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;26/11/2018;Desaprovada;Acórdão;'21431' ;'-' ;;08/03/2018;22/03/2018;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - PMDB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;14/05/2013;-;-;'-' ;'93312013' ;29/04/2013;;;;;-;-;-;Não;
'00676213000138' ;15;MDB / PMDB;Direção Nacional - PMDB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;06/02/2020;Aprovada com ressalvas;Decisão Monocrática;'23372013' ;'-' ;;27/04/2018;07/10/2019;;;-;-;4569.47;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'99472013' ;06/05/2013;;;;;-;-;-;Não;
'29549433000182' ;33;MOBILIZA / PMN;Direção Nacional - PMN;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;19/09/2023;Desaprovada;Decisão Monocrática;'140488738' ;'-' ;;30/04/2018;12/08/2021;;;-;-;922703.76;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'94782013' ;30/04/2013;;;;;-;-;-;Não;
'29417359000140' ;23;CIDADANIA / PPS;Direção Nacional - PPS;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;08/11/2018;Desaprovada;Acórdão;'242962013' ;'-' ;;18/06/2018;18/10/2018;01/01/2019;28/02/2019;-;0;707319.61;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'93522013' ;30/04/2013;;;;;-;-;-;Não;
'00887169000105' ;11;PP;Direção Nacional - PP;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;28/09/2023;Aprovada com ressalvas;Decisão Monocrática;'157036175' ;'-' ;;23/10/2017;20/08/2018;;;-;-;253100;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'87052013' ;23/04/2013;;;;;-;-;-;Não;
'07665132000181' ;10;PRB / REPUBLICANOS;Direção Nacional - PRB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;16/05/2018;Aprovada com ressalvas;Decisão Monocrática;'199622012' ;'-' ;;23/04/2018;14/05/2018;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'94312013' ;30/04/2013;;;;;-;-;-;Não;
'32206989000180' ;36;AGIR / PTC;Direção Nacional - PTC;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;16/05/2018;Aprovada com ressalvas;Decisão Monocrática;'23689' ;'-' ;;02/04/2018;11/04/2018;;;-;-;-;Não;
'01272982000133' ;28;PRTB;Direção Nacional - PRTB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'94732013' ;30/04/2013;;;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'93662013' ;30/04/2013;;;;;-;-;-;Não;
'01450856000121' ;20;PSC;Direção Nacional - PSC;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;24/10/2018;Aprovada com ressalvas;Decisão Monocrática;'234-22' ;'-' ;;26/04/2018;15/10/2018;;;-;-;-;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'95382013' ;30/04/2013;;;;;-;-;-;Não;
'03653474000120' ;45;PSDB;Direção Nacional - PSDB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;08/09/2023;Desaprovada;Acórdão;'24636' ;'-' ;;30/04/2018;17/11/2022;01/04/2023;31/07/2023;-;-;5442512.43;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Em trâmite;15/05/2013;-;-;'-' ;'95142013' ;30/04/2013;;;;;-;-;-;Não;
'01421697000137' ;40;PSB;Direção Nacional - PSB;-;Prestação de contas partidárias anuais;2012;BR - BRASIL;-;Julgada;21/02/2018;Aprovada com ressalvas;Acórdão;'244662013' ;'-' ;;02/02/2018;19/02/2018;;;-;-;-;Não;
